Symbol,Date,Close
PG,2019-05-30,105.33
PG,2019-05-31,102.91
PG,2019-06-03,103.8
PG,2019-06-04,104.68
PG,2019-06-05,106.73
PG,2019-06-06,107.38
PG,2019-06-07,108.77
PG,2019-06-10,108.72
PG,2019-06-11,109.38
PG,2019-06-12,109.68
PG,2019-06-13,110.91
PG,2019-06-14,111.2
PG,2019-06-17,110.99
PG,2019-06-18,109.6
PG,2019-06-19,110.42
PG,2019-06-20,111.74
PG,2019-06-21,111.2
PG,2019-06-24,112.33
PG,2019-06-25,111.72
PG,2019-06-26,109.73
PG,2019-06-27,109.78
PG,2019-06-28,109.65
PG,2019-07-01,110.49
PG,2019-07-02,111.48
PG,2019-07-05,113.15
PG,2019-07-08,114.05
PG,2019-07-09,112.91
PG,2019-07-10,113.75
PG,2019-07-11,114.38
PG,2019-07-12,114.99
PG,2019-07-15,115.48
PG,2019-07-16,115.89
PG,2019-07-17,115.94
PG,2019-07-18,115.44
PG,2019-07-19,115.01
PG,2019-07-22,115.3
PG,2019-07-23,113.85
PG,2019-07-24,112.6
PG,2019-07-25,112.77
PG,2019-07-26,114.73
PG,2019-07-29,116
PG,2019-07-30,120.41
PG,2019-07-31,118.04
PG,2019-08-01,116.73
PG,2019-08-02,116.44
PG,2019-08-05,113.08
PG,2019-08-06,114.28
PG,2019-08-07,115.52
PG,2019-08-08,117.44
PG,2019-08-09,116.78
PG,2019-08-12,116.03
PG,2019-08-13,117.25
PG,2019-08-14,115.79
PG,2019-08-15,117.39
PG,2019-08-16,119.18
PG,2019-08-19,120.24
PG,2019-08-20,118.9
PG,2019-08-21,119.2
PG,2019-08-22,119.42
PG,2019-08-23,117.32
PG,2019-08-26,119.32
PG,2019-08-27,120.55
PG,2019-08-28,121.4
PG,2019-08-29,121.18
PG,2019-09-03,121.36
PG,2019-09-04,123.21
PG,2019-09-05,122.76
PG,2019-09-06,122.87
PG,2019-09-09,122.17
PG,2019-09-10,119.88
PG,2019-09-11,121.27
PG,2019-09-12,122.77
PG,2019-09-13,122.12
PG,2019-09-16,119.75
PG,2019-09-17,121.16
PG,2019-09-18,121.41
PG,2019-09-19,121.9
PG,2019-09-20,122.24
PG,2019-09-23,123.22
PG,2019-09-24,123.61
PG,2019-09-25,123.02
PG,2019-09-26,124.31
PG,2019-09-27,124.57
TRV,2019-03-20,131.33
TRV,2019-03-21,134.37
TRV,2019-03-22,134.9
TRV,2019-03-25,134.95
TRV,2019-03-26,134.98
TRV,2019-03-27,136.35
TRV,2019-03-28,136.9
TRV,2019-03-29,137.16
TRV,2019-04-01,138.02
TRV,2019-04-02,136.81
TRV,2019-04-03,136.6
TRV,2019-04-04,136.52
TRV,2019-04-05,136.4
TRV,2019-04-08,135.88
TRV,2019-04-09,135.19
TRV,2019-04-10,135.46
TRV,2019-04-11,136.28
TRV,2019-04-12,137.72
TRV,2019-04-15,136.79
TRV,2019-04-16,138.34
TRV,2019-04-17,135.87
TRV,2019-04-22,136.61
TRV,2019-04-23,138.01
TRV,2019-04-24,139.18
TRV,2019-04-25,139.19
TRV,2019-04-26,140.24
TRV,2019-04-29,141.46
TRV,2019-04-30,143.75
TRV,2019-05-01,143.08
TRV,2019-05-02,142.7
TRV,2019-05-03,143.35
TRV,2019-05-06,143.43
TRV,2019-05-07,141.71
TRV,2019-05-08,141.53
TRV,2019-05-09,141.83
TRV,2019-05-10,143.96
TRV,2019-05-13,143.41
TRV,2019-05-14,145.71
TRV,2019-05-15,146.52
TRV,2019-05-16,147.41
TRV,2019-05-17,147.49
TRV,2019-05-20,148.17
TRV,2019-05-21,147.47
TRV,2019-05-22,147.96
TRV,2019-05-23,146.94
TRV,2019-05-28,146.28
TRV,2019-05-29,145.07
TRV,2019-05-30,145.73
TRV,2019-05-31,145.57
TRV,2019-06-03,146.79
TRV,2019-06-04,147.55
TRV,2019-06-05,149.85
TRV,2019-06-06,149
TRV,2019-06-07,149.53
TRV,2019-06-10,149.32
TRV,2019-06-11,149.19
TRV,2019-06-12,149.73
TRV,2019-06-13,149.41
TRV,2019-06-14,150.11
TRV,2019-06-17,149.92
TRV,2019-06-18,150.33
TRV,2019-06-19,151.6
TRV,2019-06-20,152.19
TRV,2019-06-21,151.48
TRV,2019-06-24,152.02
TRV,2019-06-25,153.13
TRV,2019-06-26,148.7
TRV,2019-06-27,149.2
TRV,2019-06-28,149.52
TRV,2019-07-01,151.42
TRV,2019-07-02,152.83
TRV,2019-07-05,154.09
TRV,2019-07-08,153.8
TRV,2019-07-09,153.45
TRV,2019-07-10,153.33
TRV,2019-07-11,152.43
TRV,2019-07-12,153.39
TRV,2019-07-15,154.83
TRV,2019-07-16,154.59
TRV,2019-07-17,152.38
TRV,2019-07-18,152.71
TRV,2019-07-19,150.23
